comparison_a,comparison_b,control_type,correct,design,dimension,entropy,expected_label,expected_label_index,is_artificial_norm,is_borderline,logscore_cold,logscore_cool,logscore_hot,logscore_warm,margin,ordered_label_score,pair_id,pred_label,pred_label_index,predicate_family,prob_cold,prob_cool,prob_hot,prob_warm,prompt,scale_type,side,source,standard_type,target,type,unit,value
freezer air,room air,standard_explicit,0,same_scalar_different_explicit_standard,temperature,0.6032532213812045,cool,1.0,False,False,-7.730391502380371,-10.666885375976562,-10.266085624694824,-10.658472061157227,-2.9364938735961914,0.3353727407284683,temp-v1-m030-freezer_air-vs-room_air,cold,0.0,warm_cold,0.8433425741507593,0.04474051097068505,0.06679840000067157,0.04511851487788428,"For freezer air, the normal temperature is -18 degrees Celsius. Relative to that standard, -30 degrees Celsius is",relative_open_temperature,a,bierwisch_kennedy_temperature_v1,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,celsius,-30
freezer air,room air,standard_explicit,1,same_scalar_different_explicit_standard,temperature,0.4976533890988455,cold,0.0,False,False,-3.6524434089660645,-7.956924915313721,-5.859781742095947,-7.125661373138428,2.207338333129883,0.3512470887918742,temp-v1-m030-freezer_air-vs-room_air,cold,0.0,warm_cold,0.8661623520068907,0.011700023590607223,0.0952718163962631,0.026865808006238816,"For room air, the normal temperature is 21 degrees Celsius. Relative to that standard, -30 degrees Celsius is",relative_open_temperature,b,bierwisch_kennedy_temperature_v1,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,celsius,-30
freezer air,swimming-pool water,standard_explicit,0,same_scalar_different_explicit_standard,temperature,0.6032532213812045,cool,1.0,False,False,-7.730391502380371,-10.666885375976562,-10.266085624694824,-10.658472061157227,-2.9364938735961914,0.3353727407284683,temp-v1-m030-freezer_air-vs-swimming_pool_water,cold,0.0,warm_cold,0.8433425741507593,0.04474051097068505,0.06679840000067157,0.04511851487788428,"For freezer air, the normal temperature is -18 degrees Celsius. Relative to that standard, -30 degrees Celsius is",relative_open_temperature,a,bierwisch_kennedy_temperature_v1,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,celsius,-30
freezer air,swimming-pool water,standard_explicit,1,same_scalar_different_explicit_standard,temperature,0.6724634807269274,cold,0.0,False,False,-4.9214067459106445,-8.718737602233887,-6.742465019226074,-7.625039100646973,1.8210582733154297,0.5130221941025728,temp-v1-m030-freezer_air-vs-swimming_pool_water,cold,0.0,warm_cold,0.7992028572840781,0.017926569576324845,0.12935447824705393,0.05351609489254304,"For swimming-pool water, the normal temperature is 27 degrees Celsius. Relative to that standard, -30 degrees Celsius is",relative_open_temperature,b,bierwisch_kennedy_temperature_v1,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,celsius,-30
freezer air,bath water,standard_explicit,0,same_scalar_different_explicit_standard,temperature,0.6032532213812045,cool,1.0,False,False,-7.730391502380371,-10.666885375976562,-10.266085624694824,-10.658472061157227,-2.9364938735961914,0.3353727407284683,temp-v1-m030-freezer_air-vs-bath_water,cold,0.0,warm_cold,0.8433425741507593,0.04474051097068505,0.06679840000067157,0.04511851487788428,"For freezer air, the normal temperature is -18 degrees Celsius. Relative to that standard, -30 degrees Celsius is",relative_open_temperature,a,bierwisch_kennedy_temperature_v1,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,celsius,-30
freezer air,bath water,standard_explicit,1,same_scalar_different_explicit_standard,temperature,0.27226780252694,cold,0.0,False,False,-5.166051387786865,-9.740636825561523,-8.790068626403809,-8.984918594360352,3.6240172386169434,0.12677013653852195,temp-v1-m030-freezer_air-vs-bath_water,cold,0.0,warm_cold,0.9443418803810902,0.009736705579287299,0.025190602879989834,0.020730811159632576,"For bath water, the normal temperature is 38 degrees Celsius. Relative to that standard, -30 degrees Celsius is",relative_open_temperature,b,bierwisch_kennedy_temperature_v1,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,celsius,-30
freezer air,freshly served tea,standard_explicit,0,same_scalar_different_explicit_standard,temperature,0.6032532213812045,cool,1.0,False,False,-7.730391502380371,-10.666885375976562,-10.266085624694824,-10.658472061157227,-2.9364938735961914,0.3353727407284683,temp-v1-m030-freezer_air-vs-freshly_served_tea,cold,0.0,warm_cold,0.8433425741507593,0.04474051097068505,0.06679840000067157,0.04511851487788428,"For freezer air, the normal temperature is -18 degrees Celsius. Relative to that standard, -30 degrees Celsius is",relative_open_temperature,a,bierwisch_kennedy_temperature_v1,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,celsius,-30
freezer air,freshly served tea,standard_explicit,1,same_scalar_different_explicit_standard,temperature,0.684280656183831,cold,0.0,False,False,-5.245675086975098,-8.676084518432617,-6.905426025390625,-8.342001914978027,1.6597509384155273,0.5469130305917015,temp-v1-m030-freezer_air-vs-freshly_served_tea,cold,0.0,warm_cold,0.7887834950961216,0.025535827026816085,0.1500158478107603,0.03566483006630227,"For freshly served tea, the normal temperature is 80 degrees Celsius. Relative to that standard, -30 degrees Celsius is",relative_open_temperature,b,bierwisch_kennedy_temperature_v1,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,celsius,-30
freezer air,heated oven air,standard_explicit,0,same_scalar_different_explicit_standard,temperature,0.6032532213812045,cool,1.0,False,False,-7.730391502380371,-10.666885375976562,-10.266085624694824,-10.658472061157227,-2.9364938735961914,0.3353727407284683,temp-v1-m030-freezer_air-vs-heated_oven_air,cold,0.0,warm_cold,0.8433425741507593,0.04474051097068505,0.06679840000067157,0.04511851487788428,"For freezer air, the normal temperature is -18 degrees Celsius. Relative to that standard, -30 degrees Celsius is",relative_open_temperature,a,bierwisch_kennedy_temperature_v1,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,celsius,-30
freezer air,heated oven air,standard_explicit,1,same_scalar_different_explicit_standard,temperature,0.8547175175494913,cold,0.0,False,False,-6.596772193908691,-10.19122314453125,-7.608592987060547,-8.999726295471191,1.0118207931518555,0.8768552409623923,temp-v1-m030-freezer_air-vs-heated_oven_air,cold,0.0,warm_cold,0.674999518259156,0.018546127859931642,0.24540040534063615,0.06105394854027608,"For heated oven air, the normal temperature is 180 degrees Celsius. Relative to that standard, -30 degrees Celsius is",relative_open_temperature,b,bierwisch_kennedy_temperature_v1,comparison_class_explicit,-30 degrees Celsius,gradable_scalar,celsius,-30
