abs_observed_ordered_shift,both_correct,comparison_a,comparison_b,correct_a,correct_b,entropy_a,entropy_b,expected_a,expected_b,expected_shift,margin_a,margin_b,observed_ordered_shift,pair_id,pred_a,pred_b,pred_shift,shift_direction_match,target,value
0.41074675089440627,0,a house mouse,an ant,0,0,0.4319519737263252,1.1883933480692366,tiny,huge,3.0,-2.348602294921875,-1.8442983627319336,0.41074675089440627,size-v1_2-p0003-a_house_mouse-vs-an_ant,small,small,0.0,1,3 centimeters,3
0.38219577712000175,0,an ant,a domestic cat,0,0,1.1883933480692366,0.606115348776077,huge,tiny,-3.0,-1.8442983627319336,-2.082219123840332,-0.38219577712000175,size-v1_2-p0003-an_ant-vs-a_domestic_cat,small,small,0.0,1,3 centimeters,3
0.22209261341904374,0,an ant,a labrador dog,0,0,1.1883933480692366,0.5878431281106447,huge,tiny,-3.0,-1.8442983627319336,-3.239612579345703,-0.22209261341904374,size-v1_2-p0003-an_ant-vs-a_labrador_dog,small,small,0.0,1,3 centimeters,3
0.28815848322824067,0,an adult human,an ant,0,0,0.7834172961645909,1.1883933480692366,tiny,huge,3.0,-2.050130844116211,-1.8442983627319336,0.28815848322824067,size-v1_2-p0003-an_adult_human-vs-an_ant,small,small,0.0,1,3 centimeters,3
0.31278135384959316,0,an ant,an african elephant,0,0,1.1883933480692366,0.5895959369484258,huge,tiny,-3.0,-1.8442983627319336,-2.5583295822143555,-0.31278135384959316,size-v1_2-p0003-an_ant-vs-an_african_elephant,small,small,0.0,1,3 centimeters,3
0.22462621552120088,0,a domestic cat,an ant,0,0,0.7724660778558594,1.0710324684912356,tiny,huge,3.0,-2.205425262451172,-2.270594596862793,0.22462621552120088,size-v1_2-p0008-a_domestic_cat-vs-an_ant,small,small,0.0,1,8 centimeters,8
0.20869587631947928,0,an ant,a labrador dog,0,0,1.0710324684912356,0.5090476899903781,huge,tiny,-3.0,-2.270594596862793,-3.419454574584961,-0.20869587631947928,size-v1_2-p0008-an_ant-vs-a_labrador_dog,small,small,0.0,1,8 centimeters,8
0.32446472895303313,0,an ant,an adult human,0,0,1.0710324684912356,0.6710063617295978,huge,tiny,-3.0,-2.270594596862793,-2.0047101974487305,-0.32446472895303313,size-v1_2-p0008-an_ant-vs-an_adult_human,small,small,0.0,1,8 centimeters,8
0.35349202749853825,0,an ant,an african elephant,0,0,1.0710324684912356,0.6320855528978125,huge,tiny,-3.0,-2.270594596862793,-1.943833351135254,-0.35349202749853825,size-v1_2-p0008-an_ant-vs-an_african_elephant,small,small,0.0,1,8 centimeters,8
0.2686076651287752,0,a house mouse,an ant,0,0,0.6713006780698679,1.1456646124943441,large,huge,1.0,-2.129563331604004,-1.9002294540405273,0.2686076651287752,size-v1_2-p0015-a_house_mouse-vs-an_ant,small,small,0.0,1,15 centimeters,15
0.3130333085927921,0,a domestic cat,an ant,0,0,0.5933429649289734,1.1456646124943441,tiny,huge,3.0,-2.4803924560546875,-1.9002294540405273,0.3130333085927921,size-v1_2-p0015-a_domestic_cat-vs-an_ant,small,small,0.0,1,15 centimeters,15
0.2632571644408792,0,a labrador dog,an ant,0,0,0.4408528774275624,1.1456646124943441,tiny,huge,3.0,-3.552236557006836,-1.9002294540405273,0.2632571644408792,size-v1_2-p0015-a_labrador_dog-vs-an_ant,small,small,0.0,1,15 centimeters,15
0.40706892655176075,0,an ant,an adult human,0,0,1.1456646124943441,0.32943298572932966,huge,tiny,-3.0,-1.9002294540405273,-2.536439895629883,-0.40706892655176075,size-v1_2-p0015-an_ant-vs-an_adult_human,small,small,0.0,1,15 centimeters,15
0.3791643454065424,0,an ant,an african elephant,0,0,1.1456646124943441,0.3731138900619655,huge,tiny,-3.0,-1.9002294540405273,-2.66094970703125,-0.3791643454065424,size-v1_2-p0015-an_ant-vs-an_african_elephant,small,small,0.0,1,15 centimeters,15
0.044425643464016895,0,a domestic cat,a house mouse,0,0,0.5933429649289734,0.6713006780698679,tiny,large,2.0,-2.4803924560546875,-2.129563331604004,0.044425643464016895,size-v1_2-p0015-a_domestic_cat-vs-a_house_mouse,small,small,0.0,1,15 centimeters,15
0.005350500687895998,0,a labrador dog,a house mouse,0,0,0.4408528774275624,0.6713006780698679,tiny,large,2.0,-3.552236557006836,-2.129563331604004,-0.005350500687895998,size-v1_2-p0015-a_labrador_dog-vs-a_house_mouse,small,small,0.0,0,15 centimeters,15
0.13846126142298554,0,an adult human,a house mouse,0,0,0.32943298572932966,0.6713006780698679,tiny,large,2.0,-2.536439895629883,-2.129563331604004,0.13846126142298554,size-v1_2-p0015-an_adult_human-vs-a_house_mouse,small,small,0.0,1,15 centimeters,15
0.11055668027776722,0,an african elephant,a house mouse,0,0,0.3731138900619655,0.6713006780698679,tiny,large,2.0,-2.66094970703125,-2.129563331604004,0.11055668027776722,size-v1_2-p0015-an_african_elephant-vs-a_house_mouse,small,small,0.0,1,15 centimeters,15
0.5983300548433088,0,a domestic cat,an ant,1,0,0.6705117573151087,1.2986025240267776,small,huge,2.0,2.1144752502441406,-0.6198539733886719,0.5983300548433088,size-v1_2-p0025-a_domestic_cat-vs-an_ant,small,large,1.0,1,25 centimeters,25
0.5213188076102124,0,an ant,a labrador dog,0,0,1.2986025240267776,0.49965491542408025,huge,tiny,-3.0,-0.6198539733886719,-3.394131660461426,-0.5213188076102124,size-v1_2-p0025-an_ant-vs-a_labrador_dog,large,small,-1.0,1,25 centimeters,25
0.5619757470044322,0,an adult human,an ant,0,0,0.7362362650418898,1.2986025240267776,tiny,huge,3.0,-2.1720361709594727,-0.6198539733886719,0.5619757470044322,size-v1_2-p0025-an_adult_human-vs-an_ant,small,large,1.0,1,25 centimeters,25
