abs_observed_ordered_shift,aligned_observed_shift,comparison_a,comparison_b,domain,expected_a,expected_b,expected_shift,expected_shift_sign,observed_ordered_shift,observed_ordered_shift_sign,ordered_score_a,ordered_score_b,pair_id,predictor_a,predictor_b,predictor_shift,predictor_shift_sign,prompt_hash_a,prompt_hash_b,shift_direction_match,standard_a,standard_b,target,value
1.6215801605026345,-1.6215801605026345,bath water,freezer air,temperature,cold,warm,2.0,positive,-1.6215801605026345,negative,1.9218788750093887,0.30029871450675405,temp-v1_3b-m010-bath_water-vs-freezer_air,-48.0,8.0,56.0,positive,39437957b84242cc,092c99c7526a7c0b,0,38.0,-18.0,-10 degrees Celsius,-10.0
2.1649351102826975,-2.1649351102826975,freezer air,freshly served tea,temperature,warm,cold,-2.0,negative,2.1649351102826975,positive,0.30029871450675405,2.4652338247894514,temp-v1_3b-m010-freezer_air-vs-freshly_served_tea,8.0,-90.0,-98.0,negative,092c99c7526a7c0b,3028157573ccf18c,0,-18.0,80.0,-10 degrees Celsius,-10.0
2.4783021137488603,-2.4783021137488603,freezer air,heated oven air,temperature,warm,cold,-2.0,negative,2.4783021137488603,positive,0.30029871450675405,2.7786008282556143,temp-v1_3b-m010-freezer_air-vs-heated_oven_air,8.0,-190.0,-198.0,negative,092c99c7526a7c0b,4145d3b459aca88e,0,-18.0,180.0,-10 degrees Celsius,-10.0
0.7626436959208106,-0.7626436959208106,freezer air,room air,temperature,warm,cold,-2.0,negative,0.7626436959208106,positive,0.30029871450675405,1.0629424104275647,temp-v1_3b-m010-freezer_air-vs-room_air,8.0,-31.0,-39.0,negative,092c99c7526a7c0b,a3176ae7afc334c7,0,-18.0,21.0,-10 degrees Celsius,-10.0
1.3278863083917494,-1.3278863083917494,freezer air,swimming-pool water,temperature,warm,cold,-2.0,negative,1.3278863083917494,positive,0.30029871450675405,1.6281850228985035,temp-v1_3b-m010-freezer_air-vs-swimming_pool_water,8.0,-37.0,-45.0,negative,092c99c7526a7c0b,a6884b500e1a873b,0,-18.0,27.0,-10 degrees Celsius,-10.0
0.6930701314475394,-0.6930701314475394,bath water,freezer air,temperature,cold,cool,1.0,positive,-0.6930701314475394,negative,1.2069076449049954,0.513837513457456,temp-v1_3b-m030-bath_water-vs-freezer_air,-68.0,-12.0,56.0,positive,7b3add6ce3023ce9,623a4774cd8d0cf2,0,38.0,-18.0,-30 degrees Celsius,-30.0
1.5513807349867854,-1.5513807349867854,freezer air,freshly served tea,temperature,cool,cold,-1.0,negative,1.5513807349867854,positive,0.513837513457456,2.0652182484442414,temp-v1_3b-m030-freezer_air-vs-freshly_served_tea,-12.0,-110.0,-98.0,negative,623a4774cd8d0cf2,fedc8c56012b5dba,0,-18.0,80.0,-30 degrees Celsius,-30.0
2.05469929806926,-2.05469929806926,freezer air,heated oven air,temperature,cool,cold,-1.0,negative,2.05469929806926,positive,0.513837513457456,2.5685368115267164,temp-v1_3b-m030-freezer_air-vs-heated_oven_air,-12.0,-210.0,-198.0,negative,623a4774cd8d0cf2,e64e0b4dca5c6649,0,-18.0,180.0,-30 degrees Celsius,-30.0
0.17176526274257564,-0.17176526274257564,room air,freezer air,temperature,cold,cool,1.0,positive,-0.17176526274257564,negative,0.6856027762000316,0.513837513457456,temp-v1_3b-m030-room_air-vs-freezer_air,-51.0,-12.0,39.0,positive,3dc60a012b25b130,623a4774cd8d0cf2,0,21.0,-18.0,-30 degrees Celsius,-30.0
0.3573490067531955,-0.3573490067531955,swimming-pool water,freezer air,temperature,cold,cool,1.0,positive,-0.3573490067531955,negative,0.8711865202106515,0.513837513457456,temp-v1_3b-m030-swimming_pool_water-vs-freezer_air,-57.0,-12.0,45.0,positive,c8f6413d3e551748,623a4774cd8d0cf2,0,27.0,-18.0,-30 degrees Celsius,-30.0
1.1424517868057458,-1.1424517868057458,freezer air,bath water,temperature,hot,cold,-3.0,negative,1.1424517868057458,positive,1.0565856060196754,2.199037392825421,temp-v1_3b-p005-freezer_air-vs-bath_water,23.0,-33.0,-56.0,negative,5e8d7040ec8ef17a,f0282ef78e0137b0,0,-18.0,38.0,5 degrees Celsius,5.0
1.6838902503828184,-1.6838902503828184,freezer air,freshly served tea,temperature,hot,cold,-3.0,negative,1.6838902503828184,positive,1.0565856060196754,2.740475856402494,temp-v1_3b-p005-freezer_air-vs-freshly_served_tea,23.0,-75.0,-98.0,negative,5e8d7040ec8ef17a,5f08c9b67684df20,0,-18.0,80.0,5 degrees Celsius,5.0
0.9320253106002563,-0.9320253106002563,freezer air,swimming-pool water,temperature,hot,cold,-3.0,negative,0.9320253106002563,positive,1.0565856060196754,1.9886109166199317,temp-v1_3b-p005-freezer_air-vs-swimming_pool_water,23.0,-22.0,-45.0,negative,5e8d7040ec8ef17a,9e82b0c0fcffc71c,0,-18.0,27.0,5 degrees Celsius,5.0
